[2023-06-01 19:15:12] [nid : BV        ] 63 0
[2023-06-01 19:15:12] [PKT : BV        ] 00 01 02 00 00 3f 00 c7 9d 0c b9 72 0a 0a 93 e3 47
[2023-06-01 19:15:12] [new_id: BV        ] 1
[2023-06-01 19:15:12] [INFO: App       ] RX: c7 9d 0c b9 72 0a 0a 93
[2023-06-01 19:15:13] [INFO: OSF       ] ROUND END
[2023-06-01 19:15:13] [INFO: OSF       ] ROUND START
[2023-06-01 19:15:13] [INFO: OSF-LOG   ] {2|ep-193 } RTTTTT|
[2023-06-01 19:15:13] [PKT : BV        ] 00 01 02 00 00 3f 00 c7 9d 0c b9 72 0a 0a 93 e3 47
[2023-06-01 19:15:14] [INFO: OSF       ] ROUND END
[2023-06-01 19:15:14] [INFO: OSF       ] ROUND START
[2023-06-01 19:15:14] [INFO: OSF-LOG   ] {2|ep-194 } RTTTTT|
[2023-06-01 19:15:14] [PKT : BV        ] 00 01 02 00 00 3f 00 c7 9d 0c b9 72 0a 0a 93 e3 47
[2023-06-01 19:15:15] [INFO: OSF       ] ROUND END
[2023-06-01 19:15:15] [INFO: OSF       ] ROUND START
[2023-06-01 19:15:15] [INFO: OSF-LOG   ] {2|ep-195 } RTTTTT|
[2023-06-01 19:15:15] [nid : BV        ] 64 0
[2023-06-01 19:15:15] [PKT : BV        ] 00 01 02 00 00 40 00 28 a4 6b 08 94 f6 2d ad f3 7b
[2023-06-01 19:15:15] [new_id: BV        ] 1
[2023-06-01 19:15:15] [INFO: App       ] RX: 28 a4 6b 08 94 f6 2d ad
[2023-06-01 19:15:16] [INFO: OSF       ] ROUND END
[2023-06-01 19:15:16] [INFO: OSF       ] ROUND START
[2023-06-01 19:15:16] [INFO: OSF-LOG   ] {2|ep-196 } RTTTTT|
[2023-06-01 19:15:16] [PKT : BV        ] 00 01 02 00 00 40 00 28 a4 6b 08 94 f6 2d ad f3 7b
[2023-06-01 19:15:17] [INFO: OSF       ] ROUND END
[2023-06-01 19:15:17] [INFO: OSF       ] ROUND START
[2023-06-01 19:15:17] [INFO: OSF-LOG   ] {2|ep-197 } RTTTTT|
